PO_NO,PL_NO,DLVRY_START_DT,DLVRY_END_DT,DLVRY_QTY,DROP_FLAG,EXTND_DP,RNOTE_QTY,IMMS_PO_SR
H2041060,37985358,31-07-20,31-03-21,3510,N,31-03-21,0,1
H2041070,77030692,01-04-21,31-07-21,290,N,31-07-21,0,1
H2041085,37985358,31-07-20,31-03-21,6519,N,31-03-21,0,1
H2041088,81033436,04-08-20,05-09-20,800,N,05-09-20,0,1
H2041088,81033436,01-04-21,31-07-21,900,N,31-07-21,0,2
H2041097,77980013,01-08-20,31-03-21,8557,N,31-03-21,0,1
H2041103,33660724,03-08-20,15-01-21,12,N,15-01-21,0,1
H2041104,33660724,03-08-20,15-01-21,22,N,15-01-21,0,1
H2041109,37983180,07-08-20,26-08-20,2000,N,26-08-20,0,1
H2041115,77030710,08-08-20,12-10-20,175,N,12-10-20,0,1
H2041129,33660608,08-08-20,21-08-20,10000,N,21-08-20,0,1
H2041135,33502730,13-08-20,31-03-21,700,N,31-03-21,0,1
H2041135,33504076,13-08-20,31-03-21,350,N,31-03-21,0,2
H2041155,37983313,22-08-20,31-12-20,20615,N,31-12-20,0,1
H2041155,37983313,01-03-21,30-06-21,20615,N,30-06-21,0,2
H2041174,33540100,20-08-20,31-07-21,1012,N,31-07-21,0,1
H2041177,81980036,21-08-20,31-03-21,28542,N,31-03-21,0,1
H2041180,33660542,17-08-20,31-12-20,105,N,31-12-20,0,1
H2041191,30367074,22-08-20,31-12-20,500,N,31-12-20,0,1
H2041212,37981286,31-03-21,31-12-21,420,N,31-12-21,0,2
H2041217,33535103,27-08-20,28-11-20,1500,N,28-11-20,0,1
H2041217,33535103,01-04-21,30-06-21,1981,N,30-06-21,0,2
H2041217,75327806,27-08-20,28-11-20,200,N,28-11-20,0,3
H2041217,75327806,01-04-21,30-06-21,249,N,30-06-21,0,4
H2041222,75327806,27-08-20,28-11-20,448,N,28-11-20,0,1
H2041229,33690881,01-09-20,31-03-21,147,N,31-03-21,0,1
H2041234,33691344,01-09-20,10-03-21,115,N,10-03-21,0,1
H2041237,35982160,04-09-20,31-12-20,911,N,31-12-20,0,1
H2041267,33535103,05-09-20,12-12-20,1703,N,12-12-20,0,1
H2041267,33535103,01-04-21,30-06-21,1778,N,30-06-21,0,2
H2041273,37981286,31-03-21,31-12-21,280,N,31-12-21,0,2
H2041274,33660608,05-09-20,31-12-20,30000,N,31-12-20,0,1
H2041278,37983283,01-10-20,31-01-21,250,N,31-01-21,0,1
H2041278,37983283,01-04-21,31-12-21,1230,N,31-12-21,0,2
H2041279,81033485,01-04-21,31-08-21,320,N,31-08-21,0,1
H2041279,81033497,01-04-21,31-08-21,295,N,31-08-21,0,2
H2041291,33660724,26-08-20,28-02-21,75,N,28-02-21,0,1
H2041292,33660724,12-09-20,30-04-21,233,N,30-04-21,0,1
H2041293,33660724,12-09-20,30-04-21,155,N,30-04-21,0,1
H2041294,33691344,01-04-21,31-12-21,462,N,31-12-21,0,1
H2041295,33504076,07-09-20,31-08-21,1000,N,31-08-21,0,1
H2041296,33504076,07-09-20,31-08-21,994,N,31-08-21,0,1
H2041297,33502730,07-09-20,31-08-21,3853,N,31-08-21,0,1
H2041297,33691393,07-09-20,31-08-21,1994,N,31-08-21,0,2
H2041305,81980050,04-09-20,31-03-21,182729,N,31-03-21,0,1
H2041329,35984193,11-09-20,30-11-20,600,N,30-11-20,0,1
H2041329,35984193,01-12-20,28-02-21,400,N,28-02-21,0,2
H2041329,35984193,01-04-21,30-06-21,800,N,30-06-21,0,3
H2041329,35984193,01-07-21,31-08-21,720,N,31-08-21,0,4
H2041369,37980830,15-09-20,30-11-20,250,N,30-11-20,0,1
H2041369,37980830,01-04-21,31-08-21,900,N,31-08-21,0,2
H2041374,33541887,14-09-20,31-12-20,1560,N,31-12-20,0,1
H2041374,33542119,14-09-20,31-12-20,1442,N,31-12-20,0,2
H2041379,75613438,17-09-20,06-11-20,268,N,06-11-20,0,1
H2041380,75613438,17-09-20,06-11-20,499,N,06-11-20,0,1
H2041401,35982160,17-09-20,10-10-20,20,N,10-10-20,0,1
H2041406,75904287,17-09-20,10-10-20,3000,N,10-10-20,0,1
H2041426,81040052,21-09-20,27-11-20,5000,N,27-11-20,0,1
H2041434,91010895,01-04-21,30-06-21,2807,Y,30-06-21,0,1
H2041435,N0125151,18-09-20,30-09-21,520,N,30-09-21,0,1
H2041436,N0125151,18-09-20,30-09-21,130,N,30-09-21,0,1
H2041444,33660839,21-09-20,10-11-20,6,N,10-11-20,0,1
H2041445,33660839,21-09-20,10-11-20,4,N,10-11-20,0,1
H2041446,33660608,23-09-20,31-12-20,20000,N,31-12-20,0,1
H2041447,93410761,23-09-20,28-11-20,80,N,28-11-20,0,1
H2041453,30367074,24-09-20,28-11-20,260,N,31-03-21,0,1
H2041453,30367074,01-04-21,31-08-21,716,N,31-08-21,0,2
H2041453,30367128,24-09-20,28-11-20,360,N,31-03-21,0,3
H2041453,30367128,01-04-21,31-08-21,1469,N,31-08-21,0,4
H2041456,30367074,24-09-20,28-11-20,140,N,28-11-20,0,1
H2041456,30367074,01-04-21,31-08-21,385,N,31-08-21,0,2
H2041456,30367128,24-09-20,28-11-20,240,N,28-11-20,0,3
H2041456,30367128,01-04-21,31-08-21,980,N,31-08-21,0,4
H2041467,33660724,21-09-20,28-02-21,10,N,28-02-21,0,1
H2041482,33660608,28-09-20,31-03-21,30079,N,31-03-21,0,1
H2041506,75040748,01-03-21,30-04-21,17600,N,30-04-21,0,1
H2041506,75040748,01-05-21,31-08-21,11713,N,31-08-21,0,2
H2041544,81047666,29-09-20,02-12-20,30301,N,02-12-20,0,1
H2041546,35984193,03-10-20,30-11-20,900,N,30-11-20,0,1
H2041546,35984193,01-12-20,28-02-21,600,N,28-02-21,0,2
H2041546,35984193,01-04-21,30-06-21,1200,N,30-06-21,0,3
H2041546,35984193,01-07-21,31-08-21,1080,N,31-08-21,0,4
H2041558,81040428,06-10-20,31-03-21,19794,N,31-03-21,0,1
H2041569,N0125187,07-10-20,30-09-21,250,N,30-09-21,0,1
H2041570,33541887,07-10-20,31-03-21,14025,N,31-03-21,0,2
H2041570,33542119,07-10-20,31-03-21,5430,N,31-03-21,0,1
H2041591,33510910,01-04-21,31-07-21,70,N,31-07-21,0,1
H2041591,33511240,12-01-21,31-07-21,69,N,31-07-21,0,2
H2041591,33691836,01-04-21,31-07-21,254,N,31-07-21,0,3
H2041592,33511240,01-04-21,31-07-21,46,N,31-07-21,0,1
H2041592,33691848,01-04-21,31-07-21,25,N,31-07-21,0,2
H2041593,33691836,01-04-21,31-07-21,473,N,31-07-21,0,1
H2041593,33691939,01-04-21,31-07-21,72,N,31-07-21,0,2
H2041594,33510910,01-04-21,31-07-21,47,N,31-07-21,0,1
H2041594,33691848,01-04-21,31-07-21,38,N,31-07-21,0,2
H2041594,33691939,01-04-21,31-07-21,135,N,31-07-21,0,3
H2041603,N0125167,12-10-20,30-09-21,87,N,30-09-21,0,1
H2041614,81040052,12-10-20,31-03-21,10725,N,31-03-21,0,1
H2041620,77030680,14-10-20,18-01-21,500,N,18-01-21,0,1
H2041620,77030680,01-04-21,31-12-21,494,N,31-12-21,0,2
H2041629,33691071,12-10-20,31-03-21,154,N,31-03-21,0,1
H2041629,84320035,12-10-20,31-03-21,473,N,31-03-21,0,2
H2041630,32981077,10-10-20,15-01-21,700,N,15-01-21,0,1
H2041630,32981077,01-04-21,31-07-21,1215,N,31-07-21,0,2
H2041633,N0125167,12-10-20,30-09-21,163,N,30-09-21,0,1
H2041647,35981994,01-04-21,31-12-21,322514,N,31-12-21,0,1
H2041648,33660529,15-10-20,21-11-20,15,N,21-11-20,0,1
H2041649,33660529,15-10-20,21-11-20,10,N,21-11-20,0,1
H2041665,33503930,28-10-20,28-02-21,35,N,28-02-21,0,1
H2041710,33660918,01-04-21,31-12-21,2212,N,31-12-21,0,1
H2041711,77190014,01-04-21,31-08-21,8987,N,31-08-21,0,1
H2041757,33530166,29-10-20,31-01-21,22,N,31-01-21,0,2
H2041757,33530361,29-10-20,31-01-21,9,N,31-01-21,0,3
H2041757,75904287,29-10-20,31-01-21,6000,N,31-01-21,0,1
H2041758,33530166,26-10-20,31-03-21,40,N,31-03-21,0,1
H2041780,33660840,02-11-20,18-11-20,130,N,18-11-20,0,1
H2041785,33503930,28-10-20,28-02-21,65,N,28-02-21,0,1
H2041786,30982637,28-10-20,28-02-21,480,N,28-02-21,0,1
H2041786,30982637,01-04-21,30-06-21,480,N,30-06-21,0,2
H2041791,33530210,05-11-20,11-08-21,82,N,11-08-21,0,1
H2041811,75904287,06-11-20,12-02-21,4000,N,12-02-21,0,1
H2041812,33660724,05-11-20,10-04-21,14,N,10-04-21,0,1
H2041813,33530210,05-11-20,10-02-21,52,N,10-02-21,0,3
H2041813,33530210,01-04-21,30-06-21,274,N,30-06-21,0,4
H2041813,33530221,05-11-20,30-06-21,3090,N,30-06-21,0,1
H2041813,33530221,01-04-21,30-06-21,4192,N,30-06-21,0,2
H2041813,33530233,01-04-21,30-06-21,752,N,30-06-21,0,5
H2041864,33660608,18-11-20,07-12-20,10000,N,07-12-20,0,1
H2041865,75613438,13-11-20,31-12-20,270,N,31-12-20,0,1
H2041865,75613438,01-01-21,15-02-21,270,N,15-02-21,0,2
H2041866,75613438,13-11-20,31-12-20,180,N,31-12-20,0,1
H2041866,75613438,01-01-21,15-02-21,180,N,15-02-21,0,2
H2041888,33691344,25-11-20,31-01-21,100,N,31-01-21,0,1
H2041889,33691344,25-11-20,31-01-21,100,N,31-01-21,0,1
H2041890,81040052,07-11-20,31-03-21,4597,N,31-03-21,0,1
H2041891,81040064,26-11-20,31-03-21,174510,N,31-03-21,0,1
H2041899,32985770,18-11-20,31-03-21,1600,N,31-03-21,0,1
H2041899,32985770,01-04-21,31-08-21,5004,N,31-08-21,0,2
H2041916,33660025,28-11-20,31-12-20,60,N,31-12-20,0,1
H2041922,32985710,07-12-20,07-03-21,160,N,07-03-21,0,1
H2041922,32985710,01-04-21,31-12-21,700,N,31-12-21,0,2
H2041923,32985691,01-04-21,31-12-21,1405,N,31-12-21,0,1
H2041923,32985721,07-12-20,07-03-21,120,N,07-03-21,0,2
H2041923,32985721,01-04-21,31-12-21,600,N,31-12-21,0,3
H2041933,81033448,07-12-20,11-01-21,250,N,11-01-21,0,1
H2041933,81033448,01-04-21,30-06-21,500,N,30-06-21,0,2
H2041934,77070100,28-11-20,31-01-21,300,N,31-01-21,0,1
H2041934,77070100,01-04-21,31-07-21,280,N,31-07-21,0,2
H2041945,33509190,02-12-20,31-03-21,48,N,31-03-21,0,1
H2041966,35981994,22-01-21,31-12-21,173661,N,31-12-21,0,1
H2041967,33660608,03-12-20,21-12-20,12000,N,21-12-20,0,1
H2041968,33541980,04-12-20,04-01-21,300,N,04-01-21,0,1
H2042000,37983180,01-04-21,30-09-21,12970,N,30-09-21,0,1
H2042008,33660840,07-12-20,28-02-21,403,N,28-02-21,0,1
H2042011,33541887,05-12-20,31-03-21,7552,N,31-03-21,0,2
H2042011,33542119,05-12-20,31-03-21,3620,N,31-03-21,0,1
H2042019,81040064,06-12-20,12-02-21,30000,N,12-02-21,0,1
H2042082,33660529,12-12-20,26-12-20,25,N,26-12-20,0,1
H2042090,33530014,30-12-20,31-12-21,2196,N,31-12-21,0,7
H2042090,33530336,01-03-21,30-04-21,1134,N,30-04-21,0,11
H2042090,33530336,01-05-21,30-06-21,1133,N,30-06-21,0,12
H2042090,33530336,01-07-21,31-08-21,1133,N,31-08-21,0,13
H2042090,33530336,01-09-21,30-10-21,1133,N,30-10-21,0,14
H2042090,33530415,11-12-20,15-01-21,1044,N,15-01-21,0,1
H2042090,33530415,01-01-21,15-02-21,1043,N,15-02-21,0,2
H2042090,33530439,12-12-20,20-02-21,134,N,20-02-21,0,5
H2042091,33690881,01-03-21,31-05-21,528,N,31-05-21,0,1
H2042096,33660840,14-12-20,28-02-21,101,N,28-02-21,0,1
H2042135,33500852,16-12-20,30-06-21,316,N,30-06-21,0,1
H2042136,33530014,01-03-21,31-12-21,915,N,31-12-21,0,10
H2042136,33530336,01-03-21,30-04-21,472,N,30-04-21,0,11
H2042136,33530336,01-05-21,30-06-21,472,N,30-06-21,0,12
H2042136,33530336,01-07-21,31-08-21,472,N,31-08-21,0,13
H2042136,33530336,01-09-21,30-10-21,473,N,30-10-21,0,14
H2042136,33530415,17-12-20,15-01-21,435,N,15-01-21,0,1
H2042136,33530415,01-01-21,15-02-21,435,N,15-02-21,0,2
H2042136,33530439,17-12-20,20-02-21,33,N,20-02-21,0,5
H2042138,33660608,17-12-20,28-02-21,26000,N,28-02-21,0,1
H2042138,33660608,01-04-21,31-12-21,32756,N,31-12-21,0,2
H2042150,75980502,19-12-20,06-01-21,130,N,06-01-21,0,1
H2042165,33660608,22-12-20,28-02-21,39000,N,28-02-21,0,1
H2042165,33660608,01-04-21,31-12-21,49134,N,31-12-21,0,2
H2042179,81040118,01-04-21,31-12-21,6443,N,31-12-21,0,1
H2042187,32985733,01-04-21,31-12-21,5005,N,31-12-21,0,1
H2042189,33680220,01-03-21,31-12-21,1745,N,31-12-21,0,1
H2042189,35984727,01-03-21,31-12-21,4045,N,31-12-21,0,2
H2042191,81040015,26-12-20,28-02-21,1900,N,28-02-21,0,1
H2042195,33660608,26-12-20,30-06-21,36722,N,30-06-21,0,1
H2042196,35982020,28-12-20,28-02-21,20000,N,28-02-21,0,1
H2042207,33660566,01-04-21,31-12-21,9795,N,31-12-21,0,1
H2042208,33660566,01-04-21,31-12-21,5274,N,31-12-21,0,1
H2042220,33535292,01-04-21,30-09-21,18150,N,30-09-21,0,1
H2050038,N7279334,16-01-20,29-02-20,2,N,15-10-20,0,1
H2050042,N6012012,22-01-20,31-07-20,100,N,31-07-20,0,1
H2050043,N0034001,22-01-20,30-03-20,7225,N,31-10-20,0,1
H2050048,N6364244,16-01-20,30-06-20,12,N,30-06-20,0,1
H2050051,N7879077,14-01-20,20-05-20,2000,N,20-05-20,0,1
H2050063,N7436037,22-01-20,25-03-20,65,N,25-03-20,0,1
H2050074,N4315003,10-01-20,16-03-20,30,N,16-03-20,0,1
H2050074,N4724057,10-01-20,16-03-20,30,N,16-03-20,0,2
H2050074,N6526583,10-01-20,13-03-20,60,N,13-03-20,0,3
H2050079,N6522483,20-01-20,30-06-20,30,N,30-06-20,0,1
H2050080,N6215125,20-01-20,28-03-20,27,N,28-03-20,0,1
H2050081,N9379022,17-01-20,28-03-20,185,N,28-03-20,0,1
H2050082,N7110002,22-01-20,28-03-20,100,N,25-07-20,0,1
H2050083,N7535001,20-01-20,28-03-20,500,N,28-03-20,0,1
H2050084,N7535002,20-01-20,28-03-20,500,N,28-03-20,0,1
H2050085,N7110002,22-01-20,20-07-20,198,N,20-07-20,0,1
H2050124,N8309036,27-01-20,30-04-20,170,N,21-08-20,0,1
H2050124,N8309145,27-01-20,30-04-20,260,N,21-08-20,0,2
H2050124,N8309150,27-01-20,30-04-20,40,N,21-08-20,0,3
H2050124,N8309168,27-01-20,30-04-20,30,N,21-08-20,0,4
H2050124,N8309237,27-01-20,30-04-20,30,N,21-08-20,0,5
H2050124,N8309275,27-01-20,30-04-20,50,N,21-08-20,0,6
H2050124,N8309312,27-04-20,30-04-20,30,N,21-08-20,0,7
H2050124,N8309319,27-01-20,30-04-20,30,N,21-08-20,0,8
H2050124,N8309334,27-01-20,30-04-20,30,N,21-08-20,0,9
H2050124,N8309338,27-01-20,30-04-20,20,N,21-08-20,0,10
H2050124,N8310015,27-01-20,30-04-20,30,N,21-08-20,0,11
H2050130,N4315060,22-01-20,25-03-20,26,N,25-03-20,0,1
H2050146,N4010025,20-01-20,07-02-20,800,N,07-02-20,0,1
H2050147,N7831002,20-01-20,01-03-20,4,N,01-03-20,0,1
H2050176,N6359305,05-02-20,16-07-20,10,N,16-07-20,0,1
H2050183,N7230006,06-02-20,31-07-20,50,N,31-07-20,0,1
H2050192,N8108121,06-02-20,25-05-20,12,N,25-05-20,0,1
H2050215,N7224547,10-02-20,18-05-20,2,N,18-05-20,0,1
H2050216,N8140003,10-02-20,18-05-20,60,N,18-05-20,0,1
H2050225,N8309132,10-02-20,10-02-21,1000,N,10-02-21,0,1
H2050236,N4305061,10-02-20,30-04-20,500,N,30-04-20,0,1
H2050237,N8309036,14-02-20,22-08-20,500,N,22-08-20,0,1
H2050238,N7615006,10-02-20,13-08-20,500,N,13-08-20,0,1
H2050238,N7615008,10-02-20,13-08-20,300,N,13-08-20,0,2
H2050238,N7630071,10-02-20,13-08-20,400,N,13-08-20,0,3
H2050258,N7224401,24-02-20,13-08-20,30,N,13-08-20,0,3
H2050258,N7224523,24-02-20,13-08-20,5,N,13-08-20,0,2
H2050258,N7279527,24-02-20,13-08-20,10,N,13-08-20,0,1
H2050263,N4010026,24-02-20,30-06-20,1500,N,30-06-20,0,1
H2050268,N7640017,19-02-20,31-05-20,400,N,31-05-20,0,1
H2050272,N7279587,27-02-20,20-09-20,10,N,20-09-20,0,1
H2050278,N4216092,24-02-20,30-04-20,1500,N,30-04-20,0,1
H2050279,N4010014,13-02-20,29-02-20,2000,N,29-02-20,0,1
H2050281,N7258190,31-03-20,30-07-20,4,N,30-07-20,0,1
H2050288,N7258217,19-02-20,21-08-20,2,N,21-08-20,0,1
H2050289,N7830004,19-02-20,25-02-20,8,N,06-08-20,0,1
H2050327,N7205289,07-03-20,25-04-20,2,N,25-04-20,0,1
H2050327,N7205295,05-03-20,25-04-20,4,N,25-04-20,0,2
H2050332,N6526966,16-03-20,31-08-20,80,N,31-08-20,0,1
H2050333,N8318005,16-03-20,30-05-20,80,N,30-05-20,0,1
H2050351,N7630095,11-03-20,15-06-20,700,N,15-06-20,0,1
H2050378,N6526157,06-03-20,09-04-20,2,N,09-04-20,0,1
H2050380,N5005030,23-03-20,30-05-20,1,N,30-05-20,0,1
H2050404,N6526491,20-03-20,31-12-20,20,N,31-12-20,0,1
H2050415,N4315116,11-03-20,27-03-20,5,N,27-03-20,0,1
H2050422,N8120027,20-03-20,30-05-20,1200,N,30-05-20,0,1
H2050423,N4305054,20-03-20,20-10-20,5,N,20-10-20,0,1
H2050431,N4216092,20-03-20,30-05-20,2000,N,30-05-20,0,1
H2050433,N4320006,13-03-20,20-04-20,35,N,30-10-20,0,1
H2050434,N8120013,14-03-20,21-03-20,72,N,21-03-20,0,1
H2050435,N6526909,14-03-20,30-09-20,4,N,30-09-20,0,1
H2050438,N3052507,14-03-20,05-04-20,12,N,25-07-20,0,1
H2050461,N4325029,25-03-20,20-07-20,500,N,20-07-20,0,1
H2050465,N8120024,31-03-20,06-06-20,60,N,22-08-20,0,1
H2050466,N4010024,18-03-20,27-03-20,800,N,27-03-20,0,1
H2050498,N4010029,19-03-20,10-08-20,1000,N,10-08-20,0,1
H2050506,N4742275,23-03-20,31-07-20,1,N,31-07-20,0,1
H2050534,N8343119,28-04-20,30-05-20,10,N,30-05-20,0,1
H2050550,N7405035,18-05-20,25-07-20,20,N,25-07-20,0,1
H2050551,N7205294,11-05-20,30-05-20,2,N,30-05-20,0,1
H2050552,N7205294,11-05-20,30-05-20,10,N,30-05-20,0,1
H2050553,N7535013,26-05-20,25-07-20,100,N,25-07-20,0,1
H2050553,N7535019,26-05-20,25-07-20,100,N,25-07-20,0,2
H2050553,N7535032,26-05-20,25-07-20,50,N,25-07-20,0,3
H2050553,N7535050,26-05-20,25-07-20,50,N,25-07-20,0,4
H2050554,N4206054,09-05-20,21-05-20,210,N,27-08-20,0,1
H2050555,N4210001,09-05-20,21-05-20,90,N,21-05-20,0,1
H2050556,N4320047,09-05-20,21-05-20,60,N,21-05-20,0,1
H2050561,N7205292,26-05-20,30-06-20,1,N,30-06-20,0,2
H2050561,N7258162,26-05-20,30-06-20,3,N,30-06-20,0,1
H2050561,N7258214,26-05-20,30-06-20,2,N,30-06-20,0,3
H2050561,N7258215,26-05-20,30-06-20,2,N,14-08-20,0,4
H2050561,N7258216,26-05-20,30-06-20,12,N,30-06-20,0,5
H2050562,N5005034,27-05-20,30-07-20,1,Y,30-07-20,0,1
H2050563,N5005033,27-05-20,30-07-20,1,Y,30-07-20,0,1
H2050569,N9009008,27-05-20,30-07-20,4500,N,30-07-20,0,1
H2050569,N9009009,27-05-20,30-07-20,3500,N,30-07-20,0,2
H2050569,N9009010,27-05-20,30-07-20,3800,N,30-07-20,0,3
H2050569,N9009049,27-05-20,30-07-20,2000,N,30-07-20,0,4
H2050569,N9009051,27-05-20,30-07-20,2000,N,30-07-20,0,5
H2050576,N8605008,15-05-20,23-05-20,40,N,21-08-20,0,1
H2050577,N8314340,15-05-20,23-05-20,1,N,23-05-20,0,1
H2050615,N6362305,08-06-20,10-08-20,2,N,10-08-20,0,1
H2050615,N6362306,08-06-20,10-08-20,2,N,10-08-20,0,2
H2050615,N6362307,08-06-20,10-08-20,3,N,10-08-20,0,3
H2050615,N6362308,08-06-20,10-08-20,12,N,10-08-20,0,4
H2050615,N6362309,08-06-20,10-08-20,1,N,10-08-20,0,5
H2050615,N6362310,08-06-20,10-08-20,2,N,10-08-20,0,6
H2050615,N6362311,08-06-20,10-08-20,3,N,10-08-20,0,7
H2050615,N6362312,08-06-20,10-08-20,3,N,10-08-20,0,8
H2050634,N7630069,10-06-20,14-08-20,50,N,14-08-20,0,1
H2050636,N8314485,09-06-20,12-09-20,1,N,12-09-20,0,1
H2050639,N8120012,08-06-20,14-08-20,25,N,14-08-20,0,1
H2050640,N8111020,05-06-20,25-07-20,61,N,25-07-20,0,1
H2050710,N8310001,22-06-20,31-08-20,300,N,31-08-20,0,1
H2050711,N8347273,11-06-20,27-06-20,4,N,27-06-20,0,1
H2050712,N7205394,11-06-20,27-06-20,4,N,27-06-20,0,1
H2050720,N4213009,22-06-20,15-01-21,200,N,15-01-21,0,1
H2050730,N4520008,13-06-20,04-07-20,64,N,16-08-20,0,1
H2050733,N6012014,17-06-20,15-09-20,4,N,15-09-20,0,1
H2050753,N7224453,18-06-20,26-09-20,4,N,26-09-20,0,2
H2050753,N7224455,18-06-20,26-09-20,1,N,26-09-20,0,1
H2050753,N7224456,18-06-20,26-09-20,1,N,26-09-20,0,3
H2050754,N4520001,18-06-20,10-07-20,50,N,13-07-20,0,1
H2050763,N4315153,29-06-20,31-08-20,50,N,31-08-20,0,1
H2050768,N8314331,20-06-20,31-08-20,5,N,31-08-20,0,1
H2050769,N4305195,30-06-20,31-08-20,1,N,31-08-20,0,1
H2050788,N8315011,29-06-20,31-08-20,2000,N,31-08-20,0,1
H2050789,N7306001,29-06-20,31-08-20,1000,N,31-08-20,0,1
H2050791,N4320034,23-06-20,13-07-20,55,N,13-07-20,0,1
H2050796,N4320045,23-06-20,21-07-20,2,N,21-07-20,0,1
H2050825,N4219109,06-07-20,31-07-20,2000,N,05-09-20,0,1
H2050830,N7879011,04-07-20,26-02-21,4000,N,26-02-21,0,1
H2050831,N7224090,10-07-20,15-09-20,40,N,15-09-20,0,1
H2050831,N7224551,10-07-20,15-09-20,40,N,15-09-20,0,2
H2050831,N7224552,10-07-20,15-09-20,40,N,15-09-20,0,3
H2050831,N7224553,10-07-20,15-09-20,100,N,15-09-20,0,4
H2050831,N7224554,10-07-20,15-09-20,40,N,15-09-20,0,5
H2050846,N6748006,04-07-20,15-09-20,20,N,15-09-20,0,1
H2050847,N7233096,11-07-20,15-09-20,1,N,15-09-20,0,1
H2050879,N7205148,15-07-20,19-09-20,5,N,15-10-20,0,1
H2050879,N7224444,15-07-20,19-09-20,300,N,19-09-20,0,2
H2050879,N7224498,15-07-20,19-08-20,4,N,15-10-20,0,3
H2050897,N8309359,11-07-20,21-09-20,10,N,21-09-20,0,1
H2050929,N4232002,20-07-20,21-09-20,350,N,21-09-20,0,1
H2050954,N7205398,23-07-20,26-09-20,1,N,26-09-20,0,2
H2050954,N7205399,23-07-20,26-09-20,1,N,26-09-20,0,1
H2050954,N8347279,23-07-20,26-09-20,1,N,26-09-20,0,3
H2050954,N8347281,23-07-20,26-09-20,1,N,26-09-20,0,4
H2050954,N8347282,23-07-20,26-09-20,1,N,26-09-20,0,5
H2050955,N7831036,14-07-20,07-08-20,50,N,07-08-20,0,1
H2050956,N7510003,14-07-20,01-08-20,48,N,01-08-20,0,1
H2050959,N3052494,14-07-20,31-07-20,24,N,31-07-20,0,1
H2050967,N8279099,16-07-20,31-08-20,20,N,31-08-20,0,1
H2051011,N4210017,30-07-20,25-09-20,20,N,25-09-20,0,1
H2051012,N8225009,21-07-20,15-08-20,2,N,15-10-20,0,1
H2051015,N4735018,30-07-20,25-09-20,4,N,25-09-20,0,1
H2051032,N7005062,30-07-20,25-09-20,500,N,25-09-20,0,1
H2051033,N4320008,21-07-20,29-07-20,1,N,29-07-20,0,1
H2051034,N8310004,30-07-20,25-09-20,200,N,25-09-20,0,1
H2051049,N4005047,14-08-20,17-10-20,800,N,17-10-20,0,1
H2051053,N4605014,30-07-20,03-10-20,2,N,03-10-20,0,1
H2051053,N4605015,30-07-20,03-10-20,2,N,03-10-20,0,2
H2051053,N4605016,30-07-20,03-10-20,2,N,03-10-20,0,3
H2051062,N7224048,01-08-20,12-12-20,10,N,12-12-20,0,3
H2051062,N7224049,01-08-20,12-12-20,10,N,12-12-20,0,4
H2051062,N7224050,01-08-20,12-12-20,10,N,12-12-20,0,5
H2051062,N7224051,01-08-20,12-12-20,10,N,12-12-20,0,6
H2051062,N7224053,01-08-20,12-12-20,10,N,12-12-20,0,7
H2051062,N7224316,01-08-20,12-12-20,20,N,12-12-20,0,1
H2051062,N7224317,01-08-20,12-12-20,20,N,12-12-20,0,2
H2051096,N4315134,01-08-20,12-09-20,3,N,21-12-20,0,1
H2051102,N4705075,13-08-20,17-10-20,20,N,17-10-20,0,1
H2051128,N6415377,03-08-20,09-09-20,1,N,31-12-20,0,1
H2051152,N6366080,26-08-20,29-10-20,615,N,29-10-20,0,1
H2051153,N7535002,26-08-20,29-10-20,500,N,29-10-20,0,1
H2051154,N4216087,26-08-20,29-10-20,50,N,29-10-20,0,1
H2051159,N4210001,18-08-20,28-08-20,75,N,28-08-20,0,1
H2051160,N4010025,18-08-20,02-09-20,815,N,09-09-20,0,1
H2051169,N4705065,27-08-20,30-10-20,15,N,30-10-20,0,1
H2051213,N5014008,05-09-20,07-11-20,150,N,07-11-20,0,1
H2051243,N7005063,10-09-20,13-11-20,110,N,13-11-20,0,1
H2051246,NH200013,14-09-20,12-12-20,1000,N,12-12-20,0,1
H2051247,N8347285,10-09-20,13-11-20,1,N,13-11-20,0,1
H2051247,N8347286,10-09-20,13-11-20,1,N,13-11-20,0,2
H2051247,N8347287,10-09-20,13-11-20,1,N,13-11-20,0,3
H2051247,N8347290,10-09-20,13-11-20,1,N,13-11-20,0,4
H2051280,N6387013,15-09-20,21-11-20,3,N,21-11-20,0,1
H2051281,N8205004,10-09-20,13-11-20,250,N,13-11-20,0,2
H2051281,N8309321,10-09-20,13-11-20,500,N,13-11-20,0,3
H2051281,N8311006,10-09-20,13-11-20,200000,N,13-11-20,0,1
H2051282,N8311015,10-09-20,13-11-20,100,N,13-11-20,0,1
H2051282,N8311019,10-09-20,13-11-20,500,N,13-11-20,0,2
H2051283,NH100036,14-09-20,20-11-20,300,N,20-11-20,0,1
H2051284,N4320047,04-09-20,19-09-20,60,N,19-09-20,0,1
H2051306,N7205005,08-09-20,18-09-20,150,N,22-09-20,0,1
H2051307,N7258220,18-09-20,23-11-20,1,N,23-11-20,0,1
H2051320,N8440016,15-09-20,21-11-20,130,N,21-11-20,0,1
H2051373,N7947002,12-09-20,13-09-20,58,N,13-09-20,0,1
H2051375,N6619007,14-09-20,23-11-20,1,N,23-11-20,0,1
H2051378,N8120039,16-09-20,23-09-20,8000,N,23-09-20,0,1
